,,,54,,
doi,positive_score,negative_scores,,,-1
art,0.404906094,0.743837476,FALSE,,
painting,0.429758042,0.732090771,FALSE,,
books,0.450218111,0.718458951,FALSE,,
food,0.435215473,0.718247652,FALSE,,
women,0.479567856,0.714930415,FALSE,,
dogs,0.485759944,0.714893818,FALSE,,
literature,0.400254875,0.693502605,FALSE,,
cooking,0.389567584,0.678902507,FALSE,,
politics,0.492443353,0.677399576,FALSE,,
movies,0.496977299,0.675101459,FALSE,,
drawing,0.496934295,0.671934128,FALSE,,
fantasy,0.441765368,0.661876559,FALSE,,
travel,0.362733513,0.660113513,FALSE,,
guitar,0.417626381,0.653433979,FALSE,,
coffee,0.398998857,0.652404487,FALSE,,
clothes,0.449874848,0.645153463,FALSE,,
pictures,0.462048411,0.630988359,FALSE,,
computers,0.253261864,0.630527198,FALSE,,
cars,0.264469534,0.614907026,FALSE,,
football,0.387300968,0.610799372,FALSE,,
photography,0.290276319,0.60929364,FALSE,,
camping,0.262965798,0.59383893,FALSE,,
basketball,0.390141577,0.586653471,FALSE,,
internet,0.188229993,0.580495894,FALSE,,
tattoos,0.436826736,0.568576574,FALSE,,
poetry,0.452004224,0.558996677,FALSE,,
soccer,0.357669264,0.55809319,FALSE,,
boys,0.4591012,0.554727197,FALSE,,
fashion,0.226049572,0.54798764,FALSE,,
stars,0.484948993,0.5441553,FALSE,,
shoes,0.270791024,0.54294014,FALSE,,
rock,0.366610378,0.542842686,FALSE,,
punk,0.339635521,0.536147118,FALSE,,
shopping,0.318834186,0.533308506,FALSE,,
concerts,0.390149862,0.523766637,FALSE,,
chocolate,0.273761809,0.523323476,FALSE,,
cheese,0.20131202,0.514525235,FALSE,,
candles,0.461581707,0.509441376,FALSE,,
dvds,0.182743147,0.508422017,FALSE,,
fanfiction,0.300370127,0.504046142,FALSE,,
guys,0.520955443,0.494518846,FALSE,,
radiohead,0.323224455,0.493919402,FALSE,,
hiking,0.323425472,0.490653634,FALSE,,
rain,0.646723211,0.489277273,FALSE,,
vampires,0.445799828,0.485110492,FALSE,,
biking,0.452906966,0.478721201,FALSE,,
tv,0.160329714,0.47302115,FALSE,,
love,0.544891238,0.456592441,FALSE,,
nirvana,0.251613408,0.450194299,FALSE,,
piercings,0.248534843,0.42288512,FALSE,,
anime,0.208983734,0.408475041,FALSE,,
snowboarding,0.395005077,0.404194683,FALSE,,
hugs,0.58067888,0.363369256,FALSE,,
manga,-0.048464023,0.353875458,FALSE,,
drinking,0.565850258,0.754373193,TRUE,,
driving,0.561305821,0.748008192,TRUE,,
writing,0.58450073,0.735537589,TRUE,,
history,0.512601912,0.735005379,TRUE,,
animals,0.548128128,0.730350614,TRUE,,
sex,0.508445323,0.72654295,TRUE,,
philosophy,0.55560112,0.725597024,TRUE,,
reading,0.647279739,0.717258394,TRUE,,
life,0.730068326,0.707407832,TRUE,,
running,0.575529814,0.70246774,TRUE,,
psychology,0.579515755,0.687266588,TRUE,,
sleeping,0.718371928,0.67884165,TRUE,,
eating,0.525127113,0.67406863,TRUE,,
family,0.526358247,0.65817225,TRUE,,
talking,0.552203536,0.649593115,TRUE,,
acting,0.588454723,0.64207834,TRUE,,
dreams,0.77952224,0.633258402,TRUE,,
friends,0.618401468,0.632314801,TRUE,,
dancing,0.598748386,0.621373832,TRUE,,
cats,0.52605176,0.620236933,TRUE,,
swimming,0.574002385,0.61323154,TRUE,,
singing,0.625805378,0.602454185,TRUE,,
traveling,0.551789522,0.602333426,TRUE,,
summer,0.555158436,0.593214333,TRUE,,
music,0.501837075,0.578223944,TRUE,,
snow,0.593177855,0.572869003,TRUE,,
girls,0.500323296,0.563045561,TRUE,,
laughing,0.648012221,0.534258068,TRUE,,
sleep,0.709920347,0.526230991,TRUE,,
kissing,0.603636205,0.509023249,TRUE,,
