,doi,positive_score,negative_scores
0,acting,0.7373000383377075,0.7389787435531616
1,animals,0.5060438513755798,0.5865944623947144
2,anime,0.13296617567539215,0.17283354699611664
3,art,0.3547602593898773,0.605243980884552
4,basketball,0.61008620262146,0.5496087074279785
5,biking,0.44951024651527405,0.5120044946670532
6,books,0.4496539533138275,0.4714091420173645
7,boys,0.6174101829528809,0.6345924735069275
8,camping,0.27111533284187317,0.4384928345680237
9,candles,0.29811763763427734,0.451362669467926
10,cars,0.4131747782230377,0.5526208281517029
11,cats,0.6027040481567383,0.5714531540870667
12,cheese,0.2523057162761688,0.40559419989585876
13,chocolate,0.20730464160442352,0.3877496123313904
14,clothes,0.5762299299240112,0.6532658338546753
15,coffee,0.3706023395061493,0.5684820413589478
16,computers,0.33596399426460266,0.4142768383026123
17,concerts,0.40960603952407837,0.3914128541946411
18,cooking,0.4126185178756714,0.5293569564819336
19,dancing,0.6147263646125793,0.5707206130027771
20,dogs,0.552460789680481,0.6087347865104675
21,drawing,0.5103651881217957,0.47080329060554504
22,dreams,0.6588398218154907,0.7233457565307617
23,drinking,0.5506106019020081,0.6704131364822388
24,driving,0.7105651497840881,0.740091860294342
25,dvds,0.18998737633228302,0.13182513415813446
26,eating,0.547301173210144,0.5897675156593323
27,family,0.6179067492485046,0.7248351573944092
28,fanfiction,0.16886219382286072,0.16297419369220734
29,fantasy,0.42947477102279663,0.46600404381752014
30,fashion,0.29423707723617554,0.500025749206543
31,food,0.4816184639930725,0.6400201320648193
32,football,0.5817460417747498,0.5820398330688477
33,friends,0.7082340717315674,0.7264278531074524
34,girls,0.6593185067176819,0.6718557476997375
35,guitar,0.38045912981033325,0.4484238922595978
36,guys,0.6786434054374695,0.6391685605049133
37,hiking,0.3657543659210205,0.5088139772415161
38,history,0.5509105920791626,0.5499383807182312
39,hugs,0.5485959649085999,0.602069616317749
40,internet,0.2683224380016327,0.4736732244491577
41,kissing,0.5498409867286682,0.5855098366737366
42,laughing,0.7298484444618225,0.5779913663864136
43,life,0.7143600583076477,0.8138024806976318
44,literature,0.3320155143737793,0.3702906668186188
45,love,0.5852129459381104,0.6369656324386597
46,manga,-0.024367844685912132,0.07064545154571533
47,movies,0.5350422859191895,0.4515136778354645
48,music,0.4694756269454956,0.5462248921394348
49,nirvana,0.12379848212003708,0.15428054332733154
50,painting,0.3710555136203766,0.5224978923797607
51,philosophy,0.45028945803642273,0.5586899518966675
52,photography,0.28856635093688965,0.44743043184280396
53,pictures,0.5717767477035522,0.5128349661827087
54,piercings,0.24638698995113373,0.2809920012950897
55,poetry,0.3192920982837677,0.4183056354522705
56,politics,0.5709404349327087,0.6399850249290466
57,psychology,0.5470982193946838,0.5596959590911865
58,punk,0.4570988118648529,0.5001844167709351
59,radiohead,0.17801517248153687,0.18628400564193726
60,rain,0.643977165222168,0.7048230171203613
61,reading,0.6752226948738098,0.6230801939964294
62,rock,0.3874691426753998,0.4692955017089844
63,running,0.7007772922515869,0.7470120787620544
64,sex,0.5446583032608032,0.6815395951271057
65,shoes,0.44308310747146606,0.5644960999488831
66,shopping,0.43852367997169495,0.5510551929473877
67,singing,0.6345537304878235,0.5706969499588013
68,sleep,0.7660651206970215,0.7482027411460876
69,sleeping,0.7539544105529785,0.7320903539657593
70,snow,0.6536889672279358,0.6565084457397461
71,snowboarding,0.5046342611312866,0.35127466917037964
72,soccer,0.5696561932563782,0.5055394768714905
73,stars,0.4859829843044281,0.5556231737136841
74,summer,0.6236076354980469,0.6183430552482605
75,swimming,0.6115270256996155,0.6137111783027649
76,talking,0.7224485874176025,0.7107169032096863
77,tattoos,0.4941372871398926,0.469691663980484
78,travel,0.3869822919368744,0.6274623870849609
79,traveling,0.5319710373878479,0.698402464389801
80,tv,0.2620839774608612,0.3626657724380493
81,vampires,0.3523651361465454,0.3060043752193451
82,women,0.5800801515579224,0.7565451264381409
83,writing,0.5723336935043335,0.5702896118164062
