DOIs,bfs_moments_1,bfs_moments_2,motifs_3_10,Gender
love,0.048399355,0.119372364,-0.010881346,Female
fantasy,0.019503376,0.052921331,-0.006929173,Male
sleep,0.032611814,0.068010862,-0.006847287,Female
politics,0.014011829,0.049245705,-0.005389325,Male
soccer,0.037700839,0.043469074,-0.007115802,Male
chocolate,0.041120372,0.07643663,-0.007617507,Female
life,0.0246375,0.054928742,-0.004605734,Male
shopping,0.057741139,0.083953892,-0.010669767,Female
friends,0.083233167,0.122811733,-0.014601426,Female
basketball,0.033630532,0.035253419,-0.005088379,Male
girls,0.026975451,0.056883721,-0.004408437,Female
family,0.032030392,0.050698178,-0.0039687,Female
computers,0.045055303,0.072925162,-0.011293788,Male
