DOIs,PC1,PC3,Personality
sex,4.114505347,-0.923764712,Agreeableness
love,5.008778179,-0.514066069,Openness to Exp.
internet,-0.466305866,0.830639156,Extraversion
drawing,-0.048668315,1.828420179,Extraversion
fantasy,5.655688446,-0.898056684,Extraversion
books,8.688246581,-0.538926059,Extraversion
literature,2.73280446,0.092501023,Openness to Exp.
drinking,-4.17235591,-0.29719684,Agreeableness
sleep,0.255343951,-0.777190504,Neuroticism
tv,-4.142037445,1.1043546,Conscientiousness
video games,-0.220406926,0.526752273,Extraversion
anime,3.266384376,2.928812029,Extraversion
life,-0.8014406,-0.42092484,Neuroticism
manga,1.629959228,3.773837121,Extraversion
cats,6.667743263,-1.373360347,Conscientiousness
reading,5.032576507,1.010211257,Extraversion
movies,0.218610842,0.684619416,Conscientiousness
poetry,2.325996931,0.524087592,Openness to Exp.
computers,-1.130113559,-0.430784049,Extraversion
laughing,-0.427511268,-0.788600352,Agreeableness
sleeping,0.404237608,-0.534791837,Neuroticism
